game_id,n_rows,a1,a2,a3,a4,a5,w1,w2,avg_loss_sigma,avg_loss_combined
0,30,0.300062,0.150031,0.199835,0.200041,0.150031,0.599839,0.400161,0.118163,0.121632
1,24,0.30051,0.150255,0.198392,0.20034,0.150504,0.599902,0.400098,0.130684,0.123707
2,30,0.301067,0.150316,0.19763,0.200422,0.150565,0.599831,0.400169,0.119553,0.119212
3,24,0.30109,0.150328,0.197568,0.200437,0.150577,0.599642,0.400358,0.120943,0.12486
4,30,0.301156,0.150361,0.197391,0.200481,0.15061,0.599567,0.400433,0.115302,0.113336
5,30,0.301172,0.150433,0.196937,0.200577,0.150881,0.59968,0.40032,0.123293,0.108557
6,30,0.301429,0.150561,0.196251,0.200749,0.15101,0.599688,0.400312,0.123447,0.116785
7,30,0.302348,0.150478,0.19561,0.200638,0.150926,0.599542,0.400458,0.097991,0.097779
8,30,0.302346,0.150477,0.195615,0.200636,0.150925,0.599465,0.400535,0.117984,0.119752
9,24,0.302455,0.150531,0.195326,0.200709,0.15098,0.599389,0.400611,0.121522,0.122873
10,24,0.302442,0.150625,0.194779,0.200833,0.151322,0.599417,0.400583,0.117183,0.108855
11,30,0.303186,0.150623,0.19384,0.200831,0.151519,0.599234,0.400766,0.110982,0.115842
12,30,0.303413,0.150735,0.193241,0.20098,0.151631,0.599208,0.400792,0.119788,0.115622
13,30,0.303379,0.150758,0.192984,0.20101,0.15187,0.599149,0.400851,0.119698,0.120613
14,30,0.303284,0.150751,0.192688,0.201001,0.152276,0.599087,0.400913,0.119383,0.120483
15,30,0.303356,0.150786,0.192498,0.201048,0.152311,0.599117,0.400883,0.109065,0.099466
16,30,0.303514,0.150864,0.192082,0.201151,0.152389,0.599089,0.400911,0.119546,0.115518
17,30,0.303762,0.150882,0.191773,0.201176,0.152408,0.598909,0.401091,0.116349,0.120694
18,30,0.303833,0.150917,0.191583,0.201223,0.152444,0.598939,0.401061,0.109072,0.099469
19,30,0.303894,0.150948,0.19142,0.201263,0.152474,0.598779,0.401221,0.118159,0.121635
20,24,0.303917,0.150959,0.19136,0.201278,0.152486,0.598692,0.401308,0.128772,0.130754
21,24,0.303903,0.150952,0.191397,0.201269,0.152479,0.598582,0.401418,0.126423,0.129902
22,30,0.304391,0.150951,0.190912,0.201268,0.152478,0.598492,0.401508,0.119108,0.120487
23,30,0.304423,0.151006,0.190695,0.201342,0.152534,0.598435,0.401565,0.119861,0.120677
24,30,0.304279,0.150955,0.191011,0.201273,0.152482,0.598409,0.401591,0.120828,0.114862
25,24,0.304586,0.150847,0.191065,0.201129,0.152373,0.598077,0.401923,0.108022,0.117877
26,30,0.305067,0.150822,0.190666,0.201096,0.152348,0.597922,0.402078,0.111292,0.115742
27,30,0.304925,0.150835,0.190767,0.201113,0.15236,0.597838,0.402162,0.134198,0.133402
28,30,0.305258,0.151,0.189881,0.201333,0.152527,0.597849,0.402151,0.123644,0.116896
29,24,0.305499,0.151119,0.189244,0.201492,0.152647,0.59781,0.40219,0.125128,0.12439
30,30,0.305543,0.151141,0.188713,0.201521,0.153082,0.597767,0.402233,0.121267,0.121167
31,24,0.30546,0.151149,0.18877,0.201532,0.15309,0.597681,0.402319,0.12778,0.126023
32,24,0.305656,0.151192,0.18818,0.201589,0.153383,0.597763,0.402237,0.114575,0.100457
33,24,0.305758,0.151341,0.187579,0.201788,0.153534,0.597745,0.402255,0.135645,0.133538
34,30,0.305712,0.151218,0.188037,0.201624,0.153409,0.597514,0.402486,0.12141,0.130495
35,30,0.306146,0.151162,0.187376,0.20155,0.153766,0.597399,0.402601,0.11658,0.119459
36,24,0.306212,0.151293,0.186871,0.201725,0.153899,0.597358,0.402642,0.133308,0.132682
37,24,0.306982,0.151343,0.185934,0.201791,0.153949,0.59723,0.40277,0.107363,0.104191
38,30,0.307609,0.151411,0.185081,0.201881,0.154018,0.596979,0.403021,0.111735,0.115683
39,30,0.307644,0.151468,0.18464,0.201957,0.154292,0.596838,0.403162,0.119878,0.122501
40,30,0.308021,0.151618,0.183758,0.202158,0.154445,0.596894,0.403106,0.122886,0.111595
41,30,0.307851,0.151725,0.183355,0.2023,0.154769,0.596962,0.403038,0.12062,0.110953
42,30,0.307649,0.151625,0.183893,0.202167,0.154667,0.596815,0.403185,0.128781,0.134723
43,30,0.307755,0.151662,0.183446,0.202216,0.154921,0.596802,0.403198,0.125958,0.124177
44,24,0.307608,0.15159,0.183837,0.20212,0.154846,0.596553,0.403447,0.114734,0.122366
45,30,0.307983,0.15163,0.183326,0.202173,0.154887,0.596487,0.403513,0.115969,0.113689
46,24,0.308306,0.151789,0.182472,0.202385,0.15505,0.596516,0.403484,0.127147,0.122367
47,30,0.308412,0.151826,0.182025,0.202434,0.155303,0.596503,0.403497,0.125959,0.124178
