day,round,target_player,target_role,sigma,trust,belief_wolf,combined_score,d1,d2,d3,d4,d5,E,delta_sigma
1,0,P1,VILLAGER,0.45,0.55,0.2857,0.3514,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
1,0,P2,POSSESSED,0.45,0.55,0.2857,0.3514,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
1,0,P3,VILLAGER,0.45,0.55,0.2857,0.3514,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
1,0,P4,WEREWOLF,0.45,0.55,0.2857,0.3514,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
1,0,P5,SEER,0.45,0.55,0.2857,0.3514,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
1,0,P6,VILLAGER,0.5323,0.4677,0.2857,0.3843,0.0,0.6,0.625,0.0,0.0,0.215,0.0323
1,0,P7,WEREWOLF,0.5323,0.4677,0.2857,0.3843,0.0,0.6,0.625,0.0,0.0,0.215,0.0323
2,0,P2,POSSESSED,0.4,0.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
2,0,P4,WEREWOLF,0.4,0.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
2,0,P5,SEER,0.4,0.6,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.05
2,0,P6,VILLAGER,0.4868,0.5132,0.4,0.4347,0.0,0.6,0.0,0.0,0.0,0.09,-0.0455
2,0,P7,WEREWOLF,0.486,0.514,0.4,0.4344,0.0,0.5,0.0,0.0,0.0,0.075,-0.0463
