game_id,n_players,winner,village_win,n_days,n_suspicion_agents,suspicion_agent_id,suspicion_agent_role,suspicion_agent_survived,suspicion_agent_won,n_susp_agents_survived,n_susp_agents_won,n_village_sus_won,total_votes,correct_wolf_votes,false_accusations,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,total_wolves,wolves_executed,day_first_wolf_executed,rnd_votes,heur_votes,bay_votes,mcts_votes,logic_votes,heur_susp_votes,bay_susp_votes,mcts_susp_votes,rnd_correct_pct,heur_correct_pct,bay_correct_pct,mcts_correct_pct,logic_correct_pct,heur_susp_correct_pct,bay_susp_correct_pct,mcts_susp_correct_pct,mean_sigma_wolves,mean_sigma_nonwolves,sigma_gap,mean_combined_wolves,mean_combined_nonwolves,combined_gap,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d1_wolves,mean_d1_nonwolves,mean_d2_wolves,mean_d2_nonwolves,mean_d3_wolves,mean_d3_nonwolves,mean_d4_wolves,mean_d4_nonwolves,mean_d5_wolves,mean_d5_nonwolves
0,8,WOLF,False,2,2,P7,VILLAGER,False,False,1,0,0,14,1,13,0.0714,0.5,0.9286,2,0,,0,11,0,0,0,3,0,0,,0.0,,,,0.3333,,,0.4601,0.5542,-0.0941,0.1924,0.4401,-0.2477,0.125,0.6069,0.4062,0.0,0.0,0.0,0.2,0.5,0.6711,0.0,0.65,0.0,0.0,0.0,0.0
1,8,WOLF,False,3,2,P7,VILLAGER,False,False,1,1,0,18,8,10,0.4444,1.0,0.5556,2,1,1,0,12,0,0,0,6,0,0,,0.5,,,,0.3333,,,0.4456,0.5601,-0.1145,0.4782,0.3877,0.0905,0.0625,0.515,0.3278,0.0,0.0625,0.0,0.1,0.1429,0.7383,0.0,0.5245,0.0,0.0,0.1667,0.0
2,8,WOLF,False,2,2,P7,VILLAGER,True,False,1,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,11,0,0,0,3,0,0,,0.0,,,,0.0,,,0.5331,0.5848,-0.0517,0.214,0.4542,-0.2402,0.25,0.6708,0.5781,0.0,0.0,0.3333,0.2,0.6,0.7133,0.0,0.925,0.0,0.0,0.0,0.0
3,8,VILLAGE,True,3,2,P7,SEER,True,True,1,2,2,18,9,9,0.5,1.0,0.5,2,2,2,0,13,0,0,0,5,0,0,,0.4615,,,,0.6,,,0.5949,0.5012,0.0937,0.5691,0.3125,0.2566,0.125,0.7446,0.4834,0.0,0.0,0.0,0.2,0.7857,0.72,0.8724,0.25,0.0,0.0,0.0,0.0
4,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,1,0,18,8,10,0.4444,1.0,0.5556,2,1,1,0,13,0,0,0,5,0,0,,0.4615,,,,0.4,,,0.5195,0.539,-0.0195,0.4319,0.3932,0.0387,0.125,0.6933,0.5201,0.0,0.0,0.3333,0.0,0.5714,0.7664,0.5121,0.5248,0.0,0.0,0.0,0.0
5,8,WOLF,False,2,2,P7,VILLAGER,False,False,0,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,11,0,0,0,3,0,0,,0.0,,,,0.0,,,0.4911,0.5129,-0.0218,0.3335,0.3447,-0.0112,0.0,0.6333,0.4062,0.0,0.0,0.0,0.0,0.4889,0.72,0.3333,0.45,0.0,0.0,0.0,0.0
6,8,WOLF,False,3,2,P7,SEER,False,False,1,1,0,18,8,10,0.4444,1.0,0.5556,2,1,1,0,12,0,0,0,6,0,0,,0.5,,,,0.3333,,,0.5133,0.5367,-0.0234,0.4432,0.3915,0.0517,0.125,0.6325,0.5201,0.0,0.0,0.3333,0.0,0.4571,0.7378,0.5121,0.5248,0.0,0.0,0.0,0.0
7,8,WOLF,False,2,2,P7,SEER,True,False,1,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,10,0,0,0,4,0,0,,0.0,,,,0.0,,,0.5765,0.5534,0.0231,0.3658,0.4425,-0.0767,0.3125,0.5812,0.7812,0.0,0.0,0.5,0.2,0.2667,0.77,1.0,0.65,0.0,0.0,0.0,0.0
8,8,WOLF,False,2,2,P7,VILLAGER,False,False,0,0,0,14,1,13,0.0714,0.5,0.9286,2,0,,0,11,0,0,0,3,0,0,,0.0909,,,,0.0,,,0.5198,0.5335,-0.0137,0.3564,0.3503,0.0061,0.125,0.6722,0.4062,0.0,0.0,0.0,0.2,0.7593,0.62,0.3333,0.45,0.0,0.0,0.0,0.0
9,8,VILLAGE,True,2,2,P7,VILLAGER,True,True,2,2,2,14,12,2,0.8571,1.0,0.1429,2,2,1,0,10,0,0,0,4,0,0,,0.8,,,,1.0,,,0.5181,0.555,-0.0369,0.5804,0.2513,0.3291,0.0625,0.7063,0.5781,0.0,0.0,0.1667,0.0,0.6333,0.75,0.3333,0.725,0.0,0.0,0.0,0.0
10,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,0,0,18,7,11,0.3889,0.5,0.6111,2,1,1,0,13,0,0,0,5,0,0,,0.3846,,,,0.4,,,0.449,0.5396,-0.0906,0.4068,0.4116,-0.0048,0.0625,0.6007,0.4373,0.0,0.0625,0.0,0.1,0.3333,0.761,0.2083,0.5747,0.0,0.0,0.1667,0.0
11,8,VILLAGE,True,3,2,P7,VILLAGER,True,True,2,1,2,18,10,8,0.5556,1.0,0.4444,2,2,1,0,12,0,0,0,6,0,0,,0.5,,,,0.6667,,,0.5464,0.5889,-0.0425,0.5255,0.3844,0.1411,0.1458,0.4125,0.8173,0.0,0.0,0.2222,0.1,0.2,0.54,0.6643,0.9091,0.0,0.0,0.0,0.0
12,8,WOLF,False,3,2,P7,POSSESSED,False,True,0,1,0,18,8,10,0.4444,1.0,0.5556,2,1,1,0,13,0,0,0,5,0,0,,0.4615,,,,0.4,,,0.4298,0.582,-0.1522,0.3727,0.4553,-0.0826,0.0625,0.5554,0.4525,0.0,0.0625,0.0,0.1,0.2593,0.733,0.0,0.7239,0.0,0.0,0.1667,0.0
13,8,WOLF,False,2,2,P7,SEER,False,False,1,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,10,0,0,0,4,0,0,,0.0,,,,0.0,,,0.4902,0.5079,-0.0177,0.2555,0.3913,-0.1358,0.0,0.5597,0.4062,0.0,0.0,0.0,0.0,0.5296,0.5778,0.3333,0.45,0.0,0.0,0.0,0.0
14,8,WOLF,False,2,2,P7,VILLAGER,False,False,0,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,11,0,0,0,3,0,0,,0.0,,,,0.0,,,0.4937,0.527,-0.0333,0.2418,0.4159,-0.1741,0.125,0.75,0.3281,0.0,0.0,0.0,0.2,0.6667,0.8,0.3333,0.325,0.0,0.0,0.0,0.0
15,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,0,0,18,5,13,0.2778,0.5,0.7222,2,1,2,0,14,0,0,0,4,0,0,,0.2857,,,,0.25,,,0.5187,0.5098,0.0089,0.4711,0.3627,0.1084,0.125,0.5258,0.5131,0.0,0.0625,0.0,0.2,0.5259,0.5257,0.6477,0.4323,0.0,0.0,0.1667,0.0
16,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,1,0,18,5,13,0.2778,0.5,0.7222,2,1,2,0,13,0,0,0,5,0,0,,0.2308,,,,0.4,,,0.4539,0.5206,-0.0667,0.3745,0.4301,-0.0556,0.125,0.6018,0.387,0.0,0.125,0.0,0.2,0.5556,0.6295,0.0,0.6192,0.0,0.0,0.3333,0.0
17,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,0,0,18,7,11,0.3889,0.5,0.6111,2,1,1,0,13,0,0,0,5,0,0,,0.3846,,,,0.4,,,0.5108,0.5629,-0.0521,0.4653,0.4026,0.0627,0.1667,0.6163,0.4928,0.0,0.0,0.3333,0.0667,0.2564,0.8322,0.5343,0.4679,0.0,0.0,0.0,0.0
18,8,WOLF,False,3,2,P7,SEER,True,False,1,0,0,18,7,11,0.3889,0.5,0.6111,2,1,1,0,12,0,0,0,6,0,0,,0.4167,,,,0.3333,,,0.5012,0.5175,-0.0163,0.5142,0.3411,0.1731,0.125,0.5049,0.5131,0.0,0.0625,0.3333,0.0,0.3333,0.6079,0.5417,0.4959,0.0,0.0,0.1667,0.0
19,8,WOLF,False,2,2,P7,SEER,False,False,1,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,10,0,0,0,4,0,0,,0.0,,,,0.0,,,0.4768,0.524,-0.0472,0.252,0.3989,-0.1469,0.1875,0.5875,0.2812,0.0,0.0,0.0,0.3,0.6667,0.54,0.2083,0.325,0.0,0.0,0.0,0.0
20,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,0,0,18,7,11,0.3889,0.5,0.6111,2,1,1,0,13,0,0,0,5,0,0,,0.3846,,,,0.4,,,0.5152,0.5316,-0.0164,0.3893,0.4183,-0.029,0.125,0.7105,0.5201,0.0,0.0,0.3333,0.0,0.6154,0.7676,0.4167,0.5821,0.0,0.0,0.0,0.0
21,8,WOLF,False,2,2,P7,VILLAGER,True,False,1,0,0,14,1,13,0.0714,0.5,0.9286,2,0,,0,11,0,0,0,3,0,0,,0.0909,,,,0.0,,,0.5123,0.5307,-0.0184,0.3816,0.3334,0.0482,0.125,0.6347,0.4531,0.0,0.0625,0.3333,0.0,0.3333,0.8156,0.3333,0.525,0.0,0.0,0.1667,0.0
22,8,WOLF,False,3,2,P7,VILLAGER,False,False,1,1,0,18,8,10,0.4444,1.0,0.5556,2,1,1,0,12,0,0,0,6,0,0,,0.5,,,,0.3333,,,0.5682,0.5454,0.0228,0.469,0.4264,0.0426,0.2083,0.5006,0.601,0.0,0.0,0.5556,0.0,0.1538,0.7086,0.5121,0.6544,0.0,0.0,0.0,0.0
23,8,WOLF,False,2,2,P7,VILLAGER,False,False,1,0,0,14,1,13,0.0714,0.5,0.9286,2,0,,0,11,0,0,0,3,0,0,,0.0909,,,,0.0,,,0.4884,0.5104,-0.022,0.3817,0.3268,0.0549,0.125,0.5958,0.2812,0.0,0.0,0.0,0.2,0.5333,0.6333,0.3333,0.25,0.0,0.0,0.0,0.0
24,8,WOLF,False,2,2,P7,SEER,False,False,1,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,11,0,0,0,3,0,0,,0.0,,,,0.0,,,0.487,0.5305,-0.0435,0.3489,0.351,-0.0021,0.125,0.6111,0.4062,0.0,0.0625,0.0,0.2,0.5,0.6778,0.3333,0.45,0.0,0.0,0.1667,0.0
25,8,WOLF,False,2,2,P7,VILLAGER,False,False,0,0,0,14,2,12,0.1429,1.0,0.8571,2,0,,0,11,0,0,0,3,0,0,,0.0909,,,,0.3333,,,0.5955,0.5476,0.0479,0.3033,0.4098,-0.1065,0.25,0.5708,0.7812,0.0,0.0,0.3333,0.2,0.5,0.6133,1.0,0.65,0.0,0.0,0.0,0.0
26,8,VILLAGE,True,3,2,P7,VILLAGER,True,True,2,2,2,18,11,7,0.6111,1.0,0.3889,2,2,1,0,12,0,0,0,6,0,0,,0.5833,,,,0.6667,,,0.5392,0.5799,-0.0407,0.565,0.34,0.225,0.0417,0.6871,0.8826,0.0,0.0,0.1111,0.0,0.6,0.7394,0.7497,0.9624,0.0,0.0,0.0,0.0
27,8,VILLAGE,True,3,2,P7,VILLAGER,False,True,1,2,2,18,12,6,0.6667,1.0,0.3333,2,2,1,0,13,0,0,0,5,0,0,,0.6923,,,,0.6,,,0.4132,0.4944,-0.0812,0.523,0.2959,0.2271,0.0,0.5466,0.2812,0.0,0.0,0.0,0.0,0.1538,0.7822,0.2083,0.325,0.0,0.0,0.0,0.0
28,8,WOLF,False,3,2,P7,POSSESSED,False,True,0,1,0,18,6,12,0.3333,0.5,0.6667,2,1,2,0,15,0,0,0,3,0,0,,0.2667,,,,0.6667,,,0.4766,0.4932,-0.0166,0.5463,0.323,0.2233,0.125,0.6474,0.387,0.0,0.125,0.3333,0.0,0.2667,0.8759,0.2083,0.4942,0.0,0.0,0.3333,0.0
29,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,0,0,18,5,13,0.2778,0.5,0.7222,2,1,2,0,14,0,0,0,4,0,0,,0.2857,,,,0.25,,,0.468,0.4906,-0.0226,0.4866,0.3966,0.09,0.1667,0.75,0.3144,0.0,0.125,0.0,0.2667,0.6667,0.8,0.315,0.314,0.0,0.0,0.3333,0.0
30,8,WOLF,False,3,2,P7,VILLAGER,False,False,1,0,0,18,6,12,0.3333,1.0,0.6667,2,1,2,0,12,0,0,0,6,0,0,,0.3333,,,,0.3333,,,0.4979,0.5013,-0.0034,0.5691,0.2943,0.2748,0.125,0.5457,0.3992,0.0,0.0625,0.3333,0.0,0.25,0.7232,0.5417,0.3136,0.0,0.0,0.1667,0.0
31,8,WOLF,False,3,2,P7,VILLAGER,False,False,1,0,0,18,8,10,0.4444,1.0,0.5556,2,1,1,0,12,0,0,0,6,0,0,,0.5,,,,0.3333,,,0.4592,0.5731,-0.1139,0.3862,0.5003,-0.1141,0.0625,0.6524,0.45,0.0,0.0,0.0,0.1,0.5048,0.741,0.0,0.7201,0.0,0.0,0.0,0.0
32,8,WOLF,False,3,2,P7,SEER,True,False,1,1,0,18,5,13,0.2778,0.5,0.7222,2,1,2,0,12,0,0,0,6,0,0,,0.25,,,,0.3333,,,0.4547,0.5182,-0.0635,0.3226,0.4304,-0.1078,0.0,0.493,0.5151,0.0,0.0625,0.0,0.0,0.4056,0.5454,0.3333,0.6241,0.0,0.0,0.1667,0.0
33,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,0,0,18,8,10,0.4444,1.0,0.5556,2,1,1,0,13,0,0,0,5,0,0,,0.3846,,,,0.6,,,0.4735,0.5063,-0.0328,0.4406,0.3967,0.0439,0.0625,0.7654,0.4394,0.0,0.0,0.0,0.1,0.641,0.84,0.315,0.514,0.0,0.0,0.0,0.0
34,8,VILLAGE,True,2,2,P7,SEER,True,True,2,2,2,14,13,1,0.9286,1.0,0.0714,2,2,1,0,10,0,0,0,4,0,0,,0.9,,,,1.0,,,0.5509,0.529,0.0219,0.5743,0.2457,0.3286,0.1875,0.7219,0.5312,0.0,0.0,0.5,0.0,0.5,0.855,0.5417,0.525,0.0,0.0,0.0,0.0
35,8,WOLF,False,2,2,P7,POSSESSED,False,True,0,1,0,14,0,14,0.0,0.0,1.0,2,0,,0,11,0,0,0,3,0,0,,0.0,,,,0.0,,,0.4452,0.5607,-0.1155,0.3518,0.3467,0.0051,0.0625,0.4156,0.6562,0.0,0.0,0.1667,0.0,0.0,0.665,0.2083,0.925,0.0,0.0,0.0,0.0
36,8,WOLF,False,3,2,P7,VILLAGER,True,False,1,0,0,18,7,11,0.3889,0.5,0.6111,2,1,1,0,13,0,0,0,5,0,0,,0.3846,,,,0.4,,,0.4117,0.5232,-0.1115,0.3665,0.4329,-0.0664,0.0625,0.6794,0.4394,0.0,0.0,0.0,0.1,0.2857,0.9156,0.0,0.703,0.0,0.0,0.0,0.0
37,8,VILLAGE,True,3,2,P7,VILLAGER,True,True,1,1,2,18,8,10,0.4444,1.0,0.5556,2,2,2,0,14,0,0,0,4,0,0,,0.3571,,,,0.75,,,0.5603,0.5588,0.0015,0.7176,0.3137,0.4039,0.2917,0.5782,0.5105,0.0,0.125,0.6667,0.0667,0.0,0.9251,0.5233,0.5029,0.0,0.0,0.3333,0.0
38,8,WOLF,False,2,2,P7,SEER,False,False,1,0,0,14,1,13,0.0714,0.5,0.9286,2,0,,0,10,0,0,0,4,0,0,,0.0,,,,0.25,,,0.5538,0.5632,-0.0094,0.4031,0.368,0.0351,0.1875,0.5371,0.9062,0.0,0.0,0.3333,0.1,0.2,0.7393,0.875,0.925,0.0,0.0,0.0,0.0
39,8,VILLAGE,True,3,2,P7,VILLAGER,True,True,2,2,2,18,10,8,0.5556,1.0,0.4444,2,2,1,0,12,0,0,0,6,0,0,,0.5,,,,0.6667,,,0.4618,0.5294,-0.0676,0.7018,0.2572,0.4446,0.0625,0.4946,0.3281,0.0,0.0,0.1667,0.0,0.2,0.6714,0.3333,0.325,0.0,0.0,0.0,0.0
40,8,WOLF,False,2,2,P7,SEER,False,False,1,1,0,14,0,14,0.0,0.0,1.0,2,0,,0,10,0,0,0,4,0,0,,0.0,,,,0.0,,,0.4269,0.5409,-0.114,0.1905,0.4309,-0.2404,0.125,0.4042,0.4062,0.0,0.0,0.0,0.2,0.1667,0.5467,0.0,0.65,0.0,0.0,0.0,0.0
