game_id,n_rows,a1,a2,a3,a4,a5,w1,w2,avg_loss_sigma,avg_loss_combined
0,24,0.300308,0.149444,0.199193,0.200603,0.150452,0.598791,0.401209,0.141894,0.178899
1,30,0.300579,0.148084,0.198912,0.201035,0.151389,0.598499,0.401501,0.14142,0.122324
2,30,0.300897,0.147268,0.198596,0.2015,0.151739,0.597783,0.402217,0.136053,0.144099
3,24,0.301557,0.145924,0.197702,0.202258,0.152559,0.596865,0.403135,0.149861,0.174003
4,32,0.302068,0.144935,0.197226,0.202801,0.152969,0.595939,0.404061,0.133014,0.148534
5,30,0.302378,0.143855,0.196574,0.203262,0.15393,0.595171,0.404829,0.145448,0.160446
6,24,0.302834,0.143885,0.195663,0.203504,0.154113,0.593636,0.406364,0.128428,0.183267
7,24,0.303494,0.143087,0.194773,0.203947,0.154698,0.592179,0.407821,0.136658,0.186372
8,24,0.30427,0.142491,0.194343,0.20409,0.154806,0.590431,0.409569,0.120231,0.183417
9,24,0.305209,0.140728,0.19473,0.204338,0.154994,0.590209,0.409791,0.126828,0.093631
10,30,0.305999,0.13965,0.194509,0.204628,0.155214,0.589752,0.410248,0.132695,0.121399
11,26,0.305775,0.139789,0.194057,0.204934,0.155446,0.588195,0.411805,0.131583,0.188345
12,26,0.307087,0.138647,0.19309,0.205386,0.155789,0.58678,0.41322,0.129124,0.174402
13,32,0.307922,0.137556,0.192567,0.205829,0.156125,0.586657,0.413343,0.130506,0.098686
14,24,0.308417,0.136998,0.1918,0.20616,0.156625,0.58503,0.41497,0.13634,0.198941
15,24,0.308696,0.136164,0.191223,0.206662,0.157255,0.583881,0.416119,0.137799,0.172079
16,32,0.310617,0.134166,0.189972,0.207313,0.157931,0.583665,0.416335,0.134466,0.108553
17,24,0.311116,0.133051,0.189198,0.207961,0.158674,0.582699,0.417301,0.146386,0.174059
18,30,0.3124,0.131033,0.188348,0.208624,0.159594,0.582235,0.417765,0.141285,0.139696
19,24,0.312421,0.130909,0.187872,0.208953,0.159845,0.580615,0.419385,0.136117,0.197723
20,26,0.314225,0.128932,0.186698,0.209716,0.160429,0.580086,0.419914,0.131509,0.125877
21,26,0.314984,0.12793,0.185791,0.210368,0.160928,0.579012,0.420988,0.141481,0.173823
22,30,0.315106,0.127289,0.185506,0.210701,0.161399,0.578042,0.421958,0.144629,0.171605
23,32,0.316139,0.125236,0.185176,0.211351,0.162099,0.578515,0.421485,0.135611,0.071877
24,24,0.317071,0.124068,0.184566,0.211829,0.162466,0.577232,0.422768,0.12689,0.164647
25,24,0.317335,0.123243,0.184108,0.212406,0.162908,0.576282,0.423718,0.135454,0.160827
26,32,0.318356,0.122154,0.183077,0.213028,0.163385,0.575573,0.424427,0.141689,0.154334
27,24,0.319433,0.120593,0.18197,0.213929,0.164076,0.574376,0.425624,0.148574,0.187618
28,24,0.319549,0.119959,0.181542,0.214323,0.164627,0.572875,0.427125,0.137309,0.192678
29,30,0.320164,0.118698,0.181007,0.214869,0.165262,0.572385,0.427615,0.141804,0.132393
30,24,0.321237,0.117607,0.180006,0.215445,0.165705,0.57081,0.42919,0.129951,0.179912
31,24,0.322745,0.116061,0.179056,0.216004,0.166135,0.569643,0.430357,0.132644,0.165823
32,26,0.323595,0.114727,0.177724,0.21703,0.166925,0.568562,0.431438,0.152667,0.188059
33,24,0.32426,0.113453,0.176732,0.217793,0.167761,0.567715,0.432285,0.147614,0.169025
34,30,0.325914,0.111476,0.175264,0.218805,0.16854,0.56728,0.43272,0.151554,0.145294
35,26,0.326731,0.110137,0.174816,0.219354,0.168962,0.566624,0.433376,0.138996,0.150348
36,32,0.328348,0.108191,0.173546,0.220256,0.169658,0.566279,0.433721,0.144556,0.139131
37,24,0.328999,0.106964,0.172772,0.221019,0.170245,0.565326,0.434674,0.149251,0.173994
