Agent composition:  8x Heuristic
  100/10000 games completed (1%)
  200/10000 games completed (2%)
  300/10000 games completed (3%)
  400/10000 games completed (4%)
  500/10000 games completed (5%)
  600/10000 games completed (6%)
  700/10000 games completed (7%)
  800/10000 games completed (8%)
  900/10000 games completed (9%)
  1000/10000 games completed (10%)
  1100/10000 games completed (11%)
  1200/10000 games completed (12%)
  1300/10000 games completed (13%)
  1400/10000 games completed (14%)
  1500/10000 games completed (15%)
  1600/10000 games completed (16%)
  1700/10000 games completed (17%)
  1800/10000 games completed (18%)
  1900/10000 games completed (19%)
  2000/10000 games completed (20%)
