Agent composition:  8x MCTS
Parallel workers   : 4
Total games        : 10000
  100/10000 games completed (1%)
  200/10000 games completed (2%)
  300/10000 games completed (3%)
  400/10000 games completed (4%)
  500/10000 games completed (5%)
  600/10000 games completed (6%)
  700/10000 games completed (7%)
  800/10000 games completed (8%)
  900/10000 games completed (9%)
  1000/10000 games completed (10%)
  1100/10000 games completed (11%)
  1200/10000 games completed (12%)
  1300/10000 games completed (13%)
  1400/10000 games completed (14%)
  1500/10000 games completed (15%)
  1600/10000 games completed (16%)
  1700/10000 games completed (17%)
  1800/10000 games completed (18%)
  1900/10000 games completed (19%)
  2000/10000 games completed (20%)
  2100/10000 games completed (21%)
  2200/10000 games completed (22%)
  2300/10000 games completed (23%)
  2400/10000 games completed (24%)
  2500/10000 games completed (25%)
  2600/10000 games completed (26%)
  2700/10000 games completed (27%)
  2800/10000 games completed (28%)
  2900/10000 games completed (29%)
  3000/10000 games completed (30%)
  3100/10000 games completed (31%)
  3200/10000 games completed (32%)
  3300/10000 games completed (33%)
  3400/10000 games completed (34%)
  3500/10000 games completed (35%)
  3600/10000 games completed (36%)
  3700/10000 games completed (37%)
  3800/10000 games completed (38%)
  3900/10000 games completed (39%)
  4000/10000 games completed (40%)
  4100/10000 games completed (41%)
  4200/10000 games completed (42%)
  4300/10000 games completed (43%)
  4400/10000 games completed (44%)
  4500/10000 games completed (45%)
  4600/10000 games completed (46%)
  4700/10000 games completed (47%)
  4800/10000 games completed (48%)
  4900/10000 games completed (49%)
  5000/10000 games completed (50%)
  5100/10000 games completed (51%)
  5200/10000 games completed (52%)
  5300/10000 games completed (53%)
  5400/10000 games completed (54%)
  5500/10000 games completed (55%)
  5600/10000 games completed (56%)
  5700/10000 games completed (57%)
  5800/10000 games completed (58%)
  5900/10000 games completed (59%)
  6000/10000 games completed (60%)
  6100/10000 games completed (61%)
  6200/10000 games completed (62%)
