game_id,a1,a2,a3,a4,a5
0,0.300245,0.150123,0.199346,0.200164,0.150123
1,0.300491,0.150246,0.198691,0.200327,0.150246
2,0.300578,0.150289,0.198458,0.200386,0.150289
3,0.300626,0.150313,0.19833,0.200418,0.150313
4,0.300872,0.150436,0.197674,0.200581,0.150436
5,0.301118,0.150559,0.197018,0.200745,0.150559
6,0.301364,0.150682,0.196362,0.200909,0.150682
7,0.301452,0.150726,0.196129,0.200968,0.150726
8,0.301698,0.150849,0.195472,0.201132,0.150849
9,0.301746,0.150873,0.195345,0.201164,0.150873
10,0.301793,0.150897,0.195218,0.201196,0.150897
11,0.30204,0.15102,0.194561,0.20136,0.15102
12,0.302247,0.151123,0.194009,0.201498,0.151123
13,0.302493,0.151247,0.193351,0.201662,0.151247
14,0.302541,0.15127,0.193224,0.201694,0.15127
15,0.302588,0.151294,0.193097,0.201726,0.151294
16,0.302835,0.151418,0.192439,0.20189,0.151418
17,0.303082,0.151541,0.19178,0.202055,0.151541
18,0.30313,0.151565,0.191654,0.202087,0.151565
19,0.303377,0.151689,0.190994,0.202251,0.151689
20,0.303624,0.151812,0.190335,0.202416,0.151812
21,0.303672,0.151836,0.190208,0.202448,0.151836
22,0.303919,0.15196,0.189549,0.202613,0.15196
23,0.304167,0.152083,0.188888,0.202778,0.152083
24,0.304214,0.152107,0.188762,0.20281,0.152107
25,0.304262,0.152131,0.188635,0.202841,0.152131
26,0.30451,0.152255,0.187975,0.203006,0.152255
27,0.304757,0.152379,0.187313,0.203172,0.152379
28,0.304965,0.152483,0.186759,0.20331,0.152483
29,0.305013,0.152506,0.186633,0.203342,0.152506
30,0.305261,0.15263,0.185971,0.203507,0.15263
31,0.305308,0.152654,0.185845,0.203539,0.152654
32,0.305556,0.152778,0.185183,0.203704,0.152778
33,0.305805,0.152902,0.18452,0.20387,0.152902
34,0.306054,0.153027,0.183857,0.204036,0.153027
35,0.306262,0.153131,0.183302,0.204175,0.153131
36,0.306309,0.153155,0.183176,0.204206,0.153155
37,0.306558,0.153279,0.182512,0.204372,0.153279
38,0.306807,0.153403,0.181848,0.204538,0.153403
39,0.307056,0.153528,0.181184,0.204704,0.153528
40,0.307305,0.153653,0.180519,0.20487,0.153653
41,0.307555,0.153777,0.179854,0.205036,0.153777
42,0.307602,0.153801,0.179729,0.205068,0.153801
43,0.307851,0.153926,0.179064,0.205234,0.153926
44,0.308101,0.15405,0.178398,0.205401,0.15405
45,0.30831,0.154155,0.17784,0.20554,0.154155
46,0.30856,0.15428,0.177173,0.205707,0.15428
47,0.30881,0.154405,0.176506,0.205873,0.154405
48,0.308857,0.154428,0.176382,0.205905,0.154428
49,0.309107,0.154554,0.175714,0.206071,0.154554
50,0.309357,0.154679,0.175047,0.206238,0.154679
51,0.309608,0.154804,0.174379,0.206405,0.154804
52,0.309695,0.154848,0.174146,0.206464,0.154848
53,0.309946,0.154973,0.173477,0.206631,0.154973
54,0.309993,0.154996,0.173353,0.206662,0.154996
55,0.310243,0.155122,0.172684,0.206829,0.155122
56,0.310494,0.155247,0.172015,0.206996,0.155247
57,0.310582,0.155291,0.171782,0.207055,0.155291
58,0.310833,0.155416,0.171112,0.207222,0.155416
59,0.311084,0.155542,0.170442,0.207389,0.155542
60,0.311335,0.155668,0.169772,0.207557,0.155668
61,0.311423,0.155711,0.169539,0.207615,0.155711
62,0.311674,0.155837,0.168868,0.207783,0.155837
63,0.311721,0.15586,0.168744,0.207814,0.15586
64,0.311808,0.155904,0.168511,0.207872,0.155904
65,0.312019,0.15601,0.167949,0.208013,0.15601
66,0.312106,0.156053,0.167716,0.208071,0.156053
67,0.312358,0.156179,0.167044,0.208239,0.156179
68,0.31261,0.156305,0.166372,0.208407,0.156305
69,0.312863,0.156431,0.1657,0.208575,0.156431
70,0.313115,0.156557,0.165027,0.208743,0.156557
71,0.313367,0.156684,0.164354,0.208912,0.156684
72,0.313455,0.156727,0.164121,0.20897,0.156727
73,0.313666,0.156833,0.163557,0.209111,0.156833
74,0.313919,0.156959,0.162884,0.209279,0.156959
75,0.314172,0.157086,0.162209,0.209448,0.157086
76,0.314259,0.157129,0.161976,0.209506,0.157129
77,0.314512,0.157256,0.161301,0.209675,0.157256
78,0.314558,0.157279,0.161179,0.209705,0.157279
79,0.314604,0.157302,0.161056,0.209736,0.157302
80,0.31465,0.157325,0.160933,0.209767,0.157325
81,0.314903,0.157452,0.160258,0.209935,0.157452
82,0.314991,0.157495,0.160025,0.209994,0.157495
83,0.315078,0.157539,0.159792,0.210052,0.157539
84,0.315331,0.157666,0.159116,0.210221,0.157666
85,0.315585,0.157793,0.15844,0.21039,0.157793
86,0.315673,0.157836,0.158207,0.210448,0.157836
87,0.315718,0.157859,0.158084,0.210479,0.157859
88,0.315972,0.157986,0.157408,0.210648,0.157986
89,0.316226,0.158113,0.156731,0.210817,0.158113
90,0.31648,0.15824,0.156053,0.210987,0.15824
91,0.316526,0.158263,0.155931,0.211017,0.158263
92,0.31678,0.15839,0.155253,0.211187,0.15839
93,0.316826,0.158413,0.155131,0.211217,0.158413
94,0.31708,0.15854,0.154453,0.211387,0.15854
95,0.317167,0.158584,0.15422,0.211445,0.158584
96,0.31738,0.15869,0.153653,0.211587,0.15869
97,0.317593,0.158796,0.153086,0.211729,0.158796
98,0.317848,0.158924,0.152407,0.211898,0.158924
99,0.318102,0.159051,0.151727,0.212068,0.159051
100,0.318148,0.159074,0.151606,0.212099,0.159074
101,0.318193,0.159097,0.151484,0.212129,0.159097
102,0.318406,0.159203,0.150916,0.212271,0.159203
103,0.318662,0.159331,0.150236,0.212441,0.159331
104,0.318917,0.159458,0.149555,0.212611,0.159458
105,0.319103,0.159551,0.149059,0.212735,0.159551
106,0.319163,0.159582,0.148899,0.212775,0.159582
107,0.319349,0.159675,0.148402,0.2129,0.159675
108,0.319367,0.159684,0.148354,0.212912,0.159684
109,0.319596,0.159798,0.147745,0.213064,0.159798
110,0.319782,0.159891,0.147248,0.213188,0.159891
111,0.319842,0.159921,0.147088,0.213228,0.159921
112,0.320071,0.160035,0.146478,0.21338,0.160035
113,0.320257,0.160129,0.145981,0.213505,0.160129
114,0.320486,0.160243,0.14537,0.213657,0.160243
115,0.320504,0.160252,0.145323,0.213669,0.160252
116,0.320733,0.160366,0.144712,0.213822,0.160366
117,0.320962,0.160481,0.144102,0.213975,0.160481
118,0.321149,0.160574,0.143603,0.214099,0.160574
119,0.321167,0.160583,0.143556,0.214111,0.160583
120,0.321184,0.160592,0.143508,0.214123,0.160592
121,0.321371,0.160686,0.143009,0.214248,0.160686
122,0.321389,0.160695,0.142962,0.21426,0.160695
123,0.321619,0.160809,0.14235,0.214413,0.160809
124,0.321848,0.160924,0.141738,0.214565,0.160924
125,0.321908,0.160954,0.141578,0.214606,0.160954
126,0.322138,0.161069,0.140965,0.214759,0.161069
127,0.322198,0.161099,0.140805,0.214799,0.161099
128,0.322216,0.161108,0.140758,0.214811,0.161108
129,0.322276,0.161138,0.140598,0.214851,0.161138
130,0.322506,0.161253,0.139985,0.215004,0.161253
131,0.322736,0.161368,0.139371,0.215157,0.161368
132,0.322966,0.161483,0.138758,0.215311,0.161483
133,0.322983,0.161492,0.138711,0.215322,0.161492
134,0.323214,0.161607,0.138097,0.215476,0.161607
135,0.323401,0.161701,0.137596,0.215601,0.161701
136,0.323632,0.161816,0.136982,0.215755,0.161816
137,0.323649,0.161825,0.136935,0.215766,0.161825
138,0.32388,0.16194,0.13632,0.21592,0.16194
139,0.324111,0.162055,0.135704,0.216074,0.162055
140,0.324299,0.162149,0.135203,0.216199,0.162149
141,0.324359,0.162179,0.135043,0.216239,0.162179
142,0.32459,0.162295,0.134427,0.216393,0.162295
143,0.324821,0.162411,0.133811,0.216547,0.162411
144,0.324838,0.162419,0.133764,0.216559,0.162419
145,0.32507,0.162535,0.133148,0.216713,0.162535
146,0.32513,0.162565,0.132987,0.216753,0.162565
147,0.32519,0.162595,0.132827,0.216793,0.162595
148,0.32525,0.162625,0.132666,0.216833,0.162625
149,0.32531,0.162655,0.132506,0.216873,0.162655
150,0.325542,0.162771,0.131889,0.217028,0.162771
151,0.325773,0.162887,0.131272,0.217182,0.162887
152,0.326005,0.163002,0.130654,0.217337,0.163002
153,0.326237,0.163118,0.130035,0.217491,0.163118
154,0.326297,0.163148,0.129875,0.217531,0.163148
155,0.326529,0.163264,0.129256,0.217686,0.163264
156,0.326761,0.163381,0.128637,0.217841,0.163381
157,0.326821,0.163411,0.128477,0.217881,0.163411
158,0.327053,0.163527,0.127858,0.218036,0.163527
159,0.327243,0.163621,0.127353,0.218162,0.163621
160,0.327432,0.163716,0.126848,0.218288,0.163716
161,0.327665,0.163832,0.126228,0.218443,0.163832
162,0.327682,0.163841,0.126182,0.218454,0.163841
163,0.327742,0.163871,0.126022,0.218494,0.163871
164,0.327974,0.163987,0.125402,0.21865,0.163987
165,0.327991,0.163996,0.125357,0.218661,0.163996
166,0.328224,0.164112,0.124736,0.218816,0.164112
167,0.328241,0.164121,0.124691,0.218827,0.164121
168,0.328431,0.164215,0.124185,0.218954,0.164215
169,0.328491,0.164245,0.124024,0.218994,0.164245
170,0.328724,0.164362,0.123403,0.219149,0.164362
171,0.328741,0.16437,0.123358,0.219161,0.16437
172,0.328801,0.164401,0.123197,0.219201,0.164401
173,0.328861,0.164431,0.123037,0.219241,0.164431
174,0.328878,0.164439,0.122992,0.219252,0.164439
175,0.329111,0.164556,0.12237,0.219407,0.164556
176,0.329345,0.164672,0.121748,0.219563,0.164672
177,0.329578,0.164789,0.121125,0.219719,0.164789
178,0.329595,0.164797,0.121081,0.21973,0.164797
179,0.329829,0.164914,0.120457,0.219886,0.164914
180,0.330062,0.165031,0.119834,0.220042,0.165031
181,0.330079,0.165039,0.119789,0.220053,0.165039
182,0.330313,0.165156,0.119166,0.220209,0.165156
183,0.330547,0.165273,0.118542,0.220365,0.165273
184,0.330738,0.165369,0.118033,0.220492,0.165369
185,0.330754,0.165377,0.117989,0.220503,0.165377
186,0.330988,0.165494,0.117364,0.220659,0.165494
187,0.331049,0.165524,0.117204,0.220699,0.165524
188,0.331283,0.165642,0.116579,0.220855,0.165642
189,0.331474,0.165737,0.116069,0.220983,0.165737
190,0.33149,0.165745,0.116026,0.220994,0.165745
191,0.331725,0.165863,0.1154,0.22115,0.165863
192,0.33196,0.16598,0.114774,0.221307,0.16598
193,0.332195,0.166097,0.114147,0.221463,0.166097
194,0.332211,0.166106,0.114104,0.221474,0.166106
195,0.332403,0.166201,0.113593,0.221602,0.166201
196,0.332419,0.166209,0.11355,0.221613,0.166209
197,0.332654,0.166327,0.112923,0.221769,0.166327
198,0.332889,0.166445,0.112296,0.221926,0.166445
199,0.333081,0.16654,0.111785,0.222054,0.16654
200,0.333272,0.166636,0.111274,0.222182,0.166636
201,0.333289,0.166644,0.111231,0.222192,0.166644
202,0.333349,0.166674,0.11107,0.222232,0.166674
203,0.333584,0.166792,0.110442,0.22239,0.166792
204,0.33382,0.16691,0.109813,0.222547,0.16691
205,0.334012,0.167006,0.109301,0.222675,0.167006
206,0.334248,0.167124,0.108672,0.222832,0.167124
207,0.334484,0.167242,0.108042,0.222989,0.167242
208,0.334676,0.167338,0.10753,0.223118,0.167338
209,0.334913,0.167456,0.1069,0.223275,0.167456
210,0.335149,0.167575,0.106269,0.223433,0.167575
211,0.335386,0.167693,0.105638,0.22359,0.167693
212,0.335401,0.167701,0.105596,0.223601,0.167701
213,0.335638,0.167819,0.104965,0.223759,0.167819
214,0.335698,0.167849,0.104805,0.223799,0.167849
215,0.335935,0.167968,0.104173,0.223957,0.167968
216,0.335951,0.167976,0.104131,0.223967,0.167976
217,0.336188,0.168094,0.103498,0.224125,0.168094
218,0.336425,0.168213,0.102866,0.224283,0.168213
219,0.336662,0.168331,0.102234,0.224442,0.168331
220,0.3369,0.16845,0.101601,0.2246,0.16845
221,0.337137,0.168569,0.100967,0.224758,0.168569
222,0.337375,0.168687,0.100334,0.224917,0.168687
223,0.337435,0.168717,0.100174,0.224957,0.168717
224,0.337673,0.168836,0.09954,0.225115,0.168836
225,0.33791,0.168955,0.098905,0.225274,0.168955
226,0.338148,0.169074,0.098271,0.225432,0.169074
227,0.338164,0.169082,0.098229,0.225443,0.169082
228,0.338402,0.169201,0.097594,0.225601,0.169201
229,0.338462,0.169231,0.097435,0.225641,0.169231
230,0.338477,0.169239,0.097394,0.225652,0.169239
231,0.338537,0.169269,0.097234,0.225692,0.169269
232,0.338553,0.169276,0.097193,0.225702,0.169276
233,0.338746,0.169373,0.096676,0.225831,0.169373
234,0.338985,0.169492,0.096041,0.22599,0.169492
235,0.339,0.1695,0.096,0.226,0.1695
236,0.339239,0.169619,0.095363,0.226159,0.169619
237,0.339299,0.169649,0.095204,0.226199,0.169649
238,0.339314,0.169657,0.095163,0.226209,0.169657
239,0.339553,0.169776,0.094526,0.226368,0.169776
240,0.339792,0.169896,0.093889,0.226528,0.169896
241,0.339807,0.169903,0.093848,0.226538,0.169903
242,0.340001,0.17,0.093331,0.226667,0.17
243,0.34024,0.17012,0.092693,0.226827,0.17012
244,0.340479,0.17024,0.092056,0.226986,0.17024
245,0.340719,0.170359,0.091417,0.227146,0.170359
246,0.340778,0.170389,0.091257,0.227186,0.170389
247,0.340838,0.170419,0.091097,0.227226,0.170419
248,0.341078,0.170539,0.090459,0.227385,0.170539
249,0.341317,0.170659,0.08982,0.227545,0.170659
250,0.341377,0.170689,0.08966,0.227585,0.170689
251,0.341617,0.170809,0.089021,0.227745,0.170809
252,0.341677,0.170839,0.088861,0.227785,0.170839
253,0.341872,0.170936,0.088341,0.227915,0.170936
254,0.342112,0.171056,0.087701,0.228075,0.171056
255,0.342127,0.171063,0.087662,0.228085,0.171063
256,0.342187,0.171093,0.087502,0.228124,0.171093
257,0.342202,0.171101,0.087463,0.228134,0.171101
258,0.342442,0.171221,0.086822,0.228294,0.171221
259,0.342682,0.171341,0.086181,0.228455,0.171341
260,0.342922,0.171461,0.08554,0.228615,0.171461
261,0.343118,0.171559,0.085019,0.228745,0.171559
262,0.343133,0.171566,0.08498,0.228755,0.171566
263,0.343147,0.171574,0.08494,0.228765,0.171574
264,0.343388,0.171694,0.084298,0.228925,0.171694
265,0.343448,0.171724,0.084139,0.228965,0.171724
266,0.343643,0.171822,0.083618,0.229096,0.171822
267,0.343884,0.171942,0.082975,0.229256,0.171942
268,0.343944,0.171972,0.082816,0.229296,0.171972
269,0.343959,0.171979,0.082777,0.229306,0.171979
270,0.3442,0.1721,0.082134,0.229467,0.1721
271,0.34426,0.17213,0.081974,0.229507,0.17213
272,0.344501,0.172251,0.081331,0.229667,0.172251
273,0.344561,0.17228,0.081171,0.229707,0.17228
274,0.344575,0.172288,0.081133,0.229717,0.172288
275,0.344635,0.172318,0.080973,0.229757,0.172318
276,0.344695,0.172347,0.080813,0.229797,0.172347
277,0.344936,0.172468,0.08017,0.229958,0.172468
278,0.344951,0.172475,0.080131,0.229967,0.172475
279,0.344965,0.172483,0.080093,0.229977,0.172483
280,0.345207,0.172603,0.079449,0.230138,0.172603
281,0.345267,0.172633,0.079289,0.230178,0.172633
282,0.345281,0.172641,0.07925,0.230187,0.172641
283,0.345296,0.172648,0.079212,0.230197,0.172648
284,0.345492,0.172746,0.078689,0.230328,0.172746
285,0.345688,0.172844,0.078165,0.230459,0.172844
286,0.34593,0.172965,0.07752,0.23062,0.172965
287,0.34599,0.172995,0.07736,0.23066,0.172995
288,0.346232,0.173116,0.076715,0.230821,0.173116
289,0.346474,0.173237,0.076069,0.230983,0.173237
290,0.346671,0.173335,0.075545,0.231114,0.173335
291,0.346731,0.173365,0.075385,0.231154,0.173365
292,0.346973,0.173487,0.074738,0.231315,0.173487
293,0.347033,0.173516,0.074579,0.231355,0.173516
