game_id,n_players,winner,village_win,n_days,n_suspicion_agents,suspicion_agent_id,suspicion_agent_role,suspicion_agent_survived,suspicion_agent_won,n_susp_agents_survived,n_susp_agents_won,total_votes,correct_wolf_votes,false_accusations,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,total_wolves,wolves_executed,day_first_wolf_executed,rnd_votes,heur_votes,bay_votes,mcts_votes,logic_votes,heur_susp_votes,bay_susp_votes,mcts_susp_votes,rnd_correct_pct,heur_correct_pct,bay_correct_pct,mcts_correct_pct,logic_correct_pct,heur_susp_correct_pct,bay_susp_correct_pct,mcts_susp_correct_pct,mean_sigma_wolves,mean_sigma_nonwolves,sigma_gap,mean_combined_wolves,mean_combined_nonwolves,combined_gap,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d1_wolves,mean_d1_nonwolves,mean_d2_wolves,mean_d2_nonwolves,mean_d3_wolves,mean_d3_nonwolves,mean_d4_wolves,mean_d4_nonwolves,mean_d5_wolves,mean_d5_nonwolves
0,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4062,0.4422,-0.036,0.4025,0.3895,0.013,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
1,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4229,0.4322,-0.0093,0.3863,0.3992,-0.0129,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
2,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4062,0.4422,-0.036,0.4025,0.3894,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
3,8,WOLF,False,2,4,P1,SEER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4328,0.4262,0.0066,0.4131,0.3831,0.03,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
4,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4229,0.4322,-0.0093,0.3863,0.3992,-0.0129,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
5,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4062,0.4421,-0.0359,0.4025,0.3894,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
6,8,WOLF,False,2,4,P1,SEER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4229,0.4321,-0.0092,0.3863,0.3991,-0.0128,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
7,8,WOLF,False,2,4,P1,SEER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4061,0.442,-0.0359,0.4025,0.3894,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
8,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4061,0.442,-0.0359,0.4025,0.3894,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
9,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4326,0.4261,0.0065,0.413,0.383,0.03,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
10,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4326,0.4261,0.0065,0.413,0.383,0.03,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
11,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4228,0.432,-0.0092,0.3862,0.3991,-0.0129,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
12,8,WOLF,False,2,4,P1,POSSESSED,False,True,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4228,0.4319,-0.0091,0.3862,0.3991,-0.0129,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
13,8,WOLF,False,2,4,P1,SEER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4061,0.4419,-0.0358,0.4024,0.3893,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
14,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4324,0.4261,0.0063,0.413,0.383,0.03,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
15,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4324,0.4261,0.0063,0.413,0.383,0.03,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
16,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4227,0.4318,-0.0091,0.3863,0.3991,-0.0128,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
17,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.406,0.4418,-0.0358,0.4024,0.3894,0.013,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
18,8,WOLF,False,2,4,P1,SEER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4323,0.426,0.0063,0.4129,0.383,0.0299,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
19,8,WOLF,False,2,4,P1,SEER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.406,0.4418,-0.0358,0.4024,0.3894,0.013,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
20,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.406,0.4417,-0.0357,0.4024,0.3894,0.013,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
21,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4322,0.426,0.0062,0.4129,0.383,0.0299,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
22,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4227,0.4317,-0.009,0.3863,0.399,-0.0127,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
23,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4059,0.4416,-0.0357,0.4024,0.3893,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
24,8,WOLF,False,2,4,P1,SEER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4321,0.4259,0.0062,0.4129,0.383,0.0299,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
25,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4321,0.4259,0.0062,0.4129,0.383,0.0299,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
26,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4059,0.4416,-0.0357,0.4024,0.3893,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
27,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4059,0.4416,-0.0357,0.4024,0.3893,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
28,8,WOLF,False,2,4,P1,POSSESSED,False,True,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4226,0.4316,-0.009,0.3863,0.399,-0.0127,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
29,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.432,0.4259,0.0061,0.4128,0.383,0.0298,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
30,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4059,0.4415,-0.0356,0.4024,0.3893,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
31,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4319,0.4259,0.006,0.4128,0.383,0.0298,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
32,8,WOLF,False,2,4,P1,SEER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4225,0.4314,-0.0089,0.3862,0.3989,-0.0127,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
33,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4058,0.4414,-0.0356,0.4023,0.3892,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
34,8,WOLF,False,2,4,P1,SEER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4058,0.4414,-0.0356,0.4023,0.3892,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
35,8,WOLF,False,2,4,P1,POSSESSED,False,True,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4225,0.4314,-0.0089,0.3862,0.3989,-0.0127,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
36,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4317,0.4258,0.0059,0.4127,0.383,0.0297,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.25,0.0,0.0,0.0,0.0
37,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4225,0.4313,-0.0088,0.3862,0.3989,-0.0127,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
38,8,WOLF,False,2,4,P1,SEER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4058,0.4413,-0.0355,0.4023,0.3892,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
39,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4057,0.4412,-0.0355,0.4023,0.3892,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
40,8,WOLF,False,2,4,P1,SEER,False,False,0,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4224,0.4312,-0.0088,0.3862,0.3989,-0.0127,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.2083,0.325,0.0,0.0,0.0,0.0
41,8,WOLF,False,2,4,P1,VILLAGER,False,False,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,0,8,0,0,0,6,0,,,0.0,,,,0.0,,0.4057,0.4412,-0.0355,0.4023,0.3892,0.0131,0.0,0.0,0.2812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0
