game_id,n_players,winner,village_win,n_days,n_suspicion_agents,suspicion_agent_id,suspicion_agent_role,suspicion_agent_survived,suspicion_agent_won,n_susp_agents_survived,n_susp_agents_won,total_votes,correct_wolf_votes,false_accusations,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,total_wolves,wolves_executed,day_first_wolf_executed,rnd_votes,heur_votes,bay_votes,mcts_votes,logic_votes,heur_susp_votes,bay_susp_votes,mcts_susp_votes,rnd_correct_pct,heur_correct_pct,bay_correct_pct,mcts_correct_pct,logic_correct_pct,heur_susp_correct_pct,bay_susp_correct_pct,mcts_susp_correct_pct,mean_sigma_wolves,mean_sigma_nonwolves,sigma_gap,mean_combined_wolves,mean_combined_nonwolves,combined_gap,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d1_wolves,mean_d1_nonwolves,mean_d2_wolves,mean_d2_nonwolves,mean_d3_wolves,mean_d3_nonwolves,mean_d4_wolves,mean_d4_nonwolves,mean_d5_wolves,mean_d5_nonwolves
1,8,WOLF,False,2,4,P5,VILLAGER,False,False,2,1,14,0,14,0.0,0.0,1.0,2,0,,0,0,6,0,0,0,8,0,,,0.0,,,,0.0,,0.4058,0.4308,-0.025,0.4023,0.3849,0.0174,0.25,0.0,0.1562,0.0,0.0625,0.1667,0.3,0.0,0.0,0.0,0.25,0.0,0.0,0.1667,0.0
0,8,VILLAGE,True,2,4,P5,VILLAGER,True,True,4,4,14,11,3,0.7857,1.0,0.2143,2,2,1,0,0,6,0,0,0,8,0,,,0.5,,,,1.0,,0.4641,0.4222,0.0419,0.3399,0.2889,0.051,0.0,0.0,0.3281,0.0,0.0,0.0,0.0,0.0,0.0,0.5417,0.2,0.0,0.0,0.0,0.0
2,8,WOLF,False,3,4,P5,VILLAGER,False,False,1,1,18,6,12,0.3333,1.0,0.6667,2,1,2,0,0,7,0,0,0,11,0,,,0.1429,,,,0.4545,,0.5048,0.4729,0.0319,0.3986,0.3858,0.0128,0.2083,0.0,0.6438,0.0,0.0,0.4444,0.0667,0.0,0.0,0.6483,0.641,0.0,0.0,0.0,0.0
3,8,VILLAGE,True,3,4,P5,SEER,False,True,3,3,18,10,8,0.5556,1.0,0.4444,2,2,1,0,0,7,0,0,0,11,0,,,0.4286,,,,0.6364,,0.4429,0.4279,0.015,0.3676,0.3334,0.0342,0.0,0.0,0.5244,0.0,0.0,0.0,0.0,0.0,0.0,0.5417,0.514,0.0,0.0,0.0,0.0
5,8,VILLAGE,True,2,4,P5,VILLAGER,True,True,4,4,14,11,3,0.7857,1.0,0.2143,2,2,1,0,0,6,0,0,0,8,0,,,0.5,,,,1.0,,0.4741,0.4162,0.0579,0.3268,0.2968,0.03,0.0,0.0,0.3281,0.0,0.0,0.0,0.0,0.0,0.0,0.6667,0.125,0.0,0.0,0.0,0.0
4,8,VILLAGE,True,3,4,P5,VILLAGER,False,True,3,3,18,7,11,0.3889,1.0,0.6111,2,2,2,0,0,7,0,0,0,11,0,,,0.0,,,,0.6364,,0.4518,0.4222,0.0296,0.394,0.3655,0.0285,0.0,0.0,0.6425,0.0,0.0,0.0,0.0,0.0,0.0,0.9633,0.45,0.0,0.0,0.0,0.0
7,8,VILLAGE,True,2,4,P5,SEER,True,True,4,3,14,11,3,0.7857,1.0,0.2143,2,2,1,0,0,6,0,0,0,8,0,,,0.5,,,,1.0,,0.5362,0.4322,0.104,0.3516,0.3032,0.0484,0.25,0.0,0.4062,0.0,0.0,0.6667,0.0,0.0,0.0,0.5417,0.325,0.0,0.0,0.0,0.0
6,8,VILLAGE,True,2,4,P5,SEER,True,True,4,3,14,11,3,0.7857,1.0,0.2143,2,2,1,0,0,6,0,0,0,8,0,,,0.5,,,,1.0,,0.4495,0.4322,0.0173,0.317,0.3032,0.0138,0.0,0.0,0.4062,0.0,0.0,0.0,0.0,0.0,0.0,0.5417,0.325,0.0,0.0,0.0,0.0
8,8,VILLAGE,True,3,4,P5,VILLAGER,False,True,3,4,18,8,10,0.4444,1.0,0.5556,2,2,2,0,0,7,0,0,0,11,0,,,0.1429,,,,0.6364,,0.459,0.4179,0.0411,0.6407,0.3314,0.3093,0.0,0.0,0.6425,0.0,0.0,0.0,0.0,0.0,0.0,0.8566,0.514,0.0,0.0,0.0,0.0
9,8,WOLF,False,3,4,P5,VILLAGER,False,False,1,1,18,4,14,0.2222,0.5,0.7778,2,1,2,0,0,7,0,0,0,11,0,,,0.0,,,,0.3636,,0.4004,0.4242,-0.0238,0.3735,0.3663,0.0072,0.125,0.0,0.4062,0.0,0.0625,0.1111,0.1333,0.0,0.0,0.3333,0.45,0.0,0.0,0.1667,0.0
