game_id,a1,a2,a3,a4,a5
0,0.299832,0.150168,0.199607,0.200225,0.150168
1,0.29994,0.150223,0.199318,0.200297,0.150223
2,0.300646,0.150023,0.199278,0.20003,0.150023
3,0.301327,0.150066,0.198454,0.200088,0.150066
4,0.301472,0.150206,0.197842,0.200275,0.150206
5,0.30158,0.150315,0.197368,0.200421,0.150315
6,0.301511,0.150418,0.196885,0.200558,0.150627
7,0.302236,0.150267,0.196664,0.200357,0.150476
8,0.302784,0.150365,0.19579,0.200487,0.150574
9,0.303522,0.150557,0.194412,0.200743,0.150766
10,0.304288,0.150607,0.19348,0.20081,0.150816
11,0.30435,0.150638,0.193314,0.200851,0.150847
12,0.304335,0.150682,0.192784,0.200909,0.15129
13,0.305101,0.150732,0.191852,0.200975,0.15134
14,0.30594,0.150708,0.191093,0.200944,0.151316
15,0.306049,0.150762,0.190803,0.201015,0.151371
16,0.306094,0.150925,0.190212,0.201233,0.151535
17,0.306156,0.150962,0.190027,0.201283,0.151572
18,0.306112,0.150998,0.189951,0.201331,0.151608
19,0.306292,0.151146,0.189071,0.201527,0.151965
20,0.306328,0.150984,0.189572,0.201313,0.151803
21,0.305886,0.1511,0.18942,0.201467,0.152127
22,0.30584,0.151077,0.189542,0.201436,0.152105
23,0.306104,0.151185,0.188918,0.20158,0.152213
24,0.306166,0.151216,0.188752,0.201621,0.152244
25,0.306228,0.151247,0.188587,0.201662,0.152275
26,0.306256,0.15126,0.188514,0.201681,0.152289
27,0.305935,0.151188,0.188676,0.201584,0.152616
28,0.305905,0.151315,0.188036,0.201753,0.152992
29,0.305968,0.151352,0.187847,0.201803,0.15303
30,0.305973,0.151281,0.188081,0.201708,0.152958
31,0.306446,0.151353,0.187366,0.201804,0.153031
32,0.306386,0.15133,0.187102,0.201774,0.153407
33,0.30671,0.151454,0.186366,0.201938,0.153532
34,0.306783,0.151557,0.185697,0.202076,0.153886
35,0.306712,0.151522,0.185887,0.202029,0.15385
36,0.306701,0.151572,0.185331,0.202096,0.1543
37,0.306664,0.151553,0.18543,0.202071,0.154282
38,0.306653,0.151603,0.184874,0.202138,0.154732
39,0.307098,0.151577,0.184516,0.202103,0.154705
40,0.307585,0.151797,0.183292,0.202396,0.15493
41,0.307146,0.152006,0.183029,0.202675,0.155143
42,0.306947,0.151994,0.183268,0.202659,0.155131
43,0.30736,0.151938,0.183044,0.202584,0.155074
44,0.307176,0.151847,0.183532,0.202463,0.154981
45,0.307653,0.151903,0.182868,0.202538,0.155038
46,0.307719,0.151993,0.182099,0.202658,0.15553
47,0.308469,0.152104,0.180978,0.202806,0.155643
48,0.308518,0.152183,0.180456,0.202911,0.155933
49,0.308991,0.152255,0.17974,0.203007,0.156007
50,0.309107,0.152371,0.179235,0.203162,0.156125
51,0.308924,0.152281,0.179722,0.203041,0.156033
52,0.308382,0.152429,0.179366,0.203238,0.156584
53,0.308755,0.152433,0.17898,0.203244,0.156588
54,0.308818,0.15247,0.178791,0.203294,0.156627
55,0.308944,0.15259,0.178055,0.203453,0.156958
56,0.309005,0.152627,0.17787,0.203502,0.156996
57,0.309108,0.152656,0.17767,0.203541,0.157026
58,0.30917,0.152686,0.177506,0.203581,0.157057
59,0.309462,0.152777,0.176908,0.203703,0.157151
60,0.309684,0.152893,0.176296,0.203857,0.15727
61,0.310338,0.153036,0.175162,0.204048,0.157417
62,0.310447,0.15309,0.174872,0.204119,0.157472
63,0.310985,0.153253,0.173783,0.204338,0.15764
64,0.310698,0.153169,0.173955,0.204225,0.157953
65,0.310843,0.152991,0.17441,0.203988,0.157769
66,0.31145,0.152996,0.173786,0.203994,0.157774
67,0.311677,0.153114,0.172954,0.204151,0.158104
68,0.311613,0.153137,0.172541,0.204182,0.158528
69,0.312172,0.153152,0.171928,0.204203,0.158544
70,0.312632,0.153148,0.171083,0.204198,0.158939
71,0.312666,0.153288,0.170179,0.204384,0.159484
72,0.312658,0.153399,0.169413,0.204531,0.159999
73,0.312584,0.153558,0.168949,0.204744,0.160165
74,0.312883,0.153624,0.16822,0.204831,0.160442
75,0.3128,0.153668,0.168153,0.204891,0.160488
76,0.312852,0.153834,0.167539,0.205112,0.160662
77,0.312778,0.153994,0.167073,0.205326,0.160829
78,0.313346,0.154008,0.16646,0.205343,0.160843
79,0.313424,0.154113,0.165779,0.205484,0.161201
80,0.31334,0.154157,0.165712,0.205543,0.161248
81,0.313449,0.154211,0.165422,0.205615,0.161304
82,0.313424,0.154339,0.164764,0.205786,0.161687
83,0.313905,0.154294,0.164437,0.205725,0.161639
84,0.313928,0.154305,0.164374,0.205741,0.161651
85,0.31374,0.154213,0.164876,0.205617,0.161554
86,0.313588,0.154138,0.165282,0.205517,0.161476
87,0.313648,0.154168,0.16512,0.205557,0.161507
88,0.314462,0.15406,0.16467,0.205413,0.161394
89,0.314381,0.15402,0.164886,0.20536,0.161352
90,0.314379,0.154025,0.164663,0.205367,0.161566
91,0.314177,0.154119,0.164148,0.205492,0.162064
92,0.314532,0.154158,0.163263,0.205544,0.162504
93,0.314235,0.154363,0.162864,0.205817,0.16272
94,0.314026,0.154346,0.162732,0.205795,0.163102
95,0.313963,0.154322,0.162478,0.205762,0.163475
96,0.314083,0.154438,0.161962,0.205918,0.163599
97,0.314055,0.154403,0.161711,0.20587,0.16396
98,0.314263,0.154423,0.161036,0.205897,0.164381
99,0.31427,0.154563,0.160554,0.206083,0.16453
100,0.314379,0.154616,0.160264,0.206155,0.164587
101,0.314301,0.154578,0.160471,0.206104,0.164546
102,0.314229,0.154738,0.159999,0.206318,0.164717
103,0.314473,0.154628,0.16013,0.20617,0.164599
104,0.314598,0.154747,0.1596,0.206329,0.164726
105,0.314656,0.154782,0.159423,0.206376,0.164763
106,0.314867,0.154815,0.1591,0.20642,0.164798
107,0.315298,0.154748,0.158897,0.20633,0.164727
108,0.315,0.154937,0.158553,0.206582,0.164928
109,0.314555,0.155072,0.158538,0.206763,0.165072
110,0.314637,0.155113,0.158317,0.206817,0.165115
111,0.31414,0.155201,0.158114,0.206935,0.165609
112,0.314289,0.155275,0.157714,0.207034,0.165688
113,0.314099,0.155317,0.157362,0.20709,0.166132
114,0.313672,0.155536,0.157045,0.207381,0.166366
115,0.314103,0.155579,0.156467,0.207438,0.166412
116,0.313953,0.155718,0.156143,0.207624,0.166561
117,0.314006,0.155887,0.155517,0.207849,0.166741
118,0.314469,0.155932,0.154902,0.207909,0.166789
119,0.314418,0.156047,0.154559,0.208063,0.166913
120,0.314116,0.156233,0.154229,0.208311,0.167112
121,0.314412,0.156387,0.153409,0.208516,0.167276
122,0.314044,0.156541,0.153045,0.208721,0.167649
123,0.314104,0.15657,0.152885,0.20876,0.167681
124,0.31414,0.156566,0.152656,0.208754,0.167884
125,0.314248,0.156619,0.152365,0.208826,0.167942
126,0.314334,0.156537,0.152162,0.208716,0.168252
127,0.314388,0.156622,0.151607,0.20883,0.168553
128,0.31438,0.156625,0.151398,0.208833,0.168764
129,0.31425,0.156697,0.151074,0.208929,0.16905
130,0.313947,0.156884,0.15074,0.209178,0.169251
131,0.313704,0.156762,0.151398,0.209016,0.16912
132,0.313148,0.156915,0.151032,0.20922,0.169685
133,0.313123,0.157046,0.150363,0.209394,0.170074
134,0.313582,0.156938,0.150271,0.209251,0.169958
135,0.313603,0.156949,0.150214,0.209265,0.16997
136,0.313677,0.156844,0.150496,0.209126,0.169856
137,0.313467,0.156826,0.150369,0.209102,0.170236
138,0.313811,0.156738,0.150326,0.208984,0.17014
139,0.313273,0.15689,0.149947,0.209186,0.170704
140,0.313526,0.156833,0.149888,0.209111,0.170642
141,0.313095,0.157049,0.14958,0.209399,0.170877
142,0.313224,0.157009,0.149586,0.209346,0.170835
143,0.313541,0.156903,0.149635,0.209203,0.170718
144,0.313532,0.156954,0.14907,0.209272,0.171173
145,0.3137,0.156896,0.149099,0.209195,0.17111
146,0.313454,0.156773,0.149765,0.209031,0.170976
147,0.31336,0.156726,0.15002,0.208969,0.170925
148,0.312807,0.156884,0.149634,0.209179,0.171496
149,0.313101,0.156848,0.149465,0.20913,0.171457
150,0.312535,0.156996,0.149313,0.209328,0.171828
151,0.312118,0.157209,0.149001,0.209612,0.172061
152,0.312434,0.157102,0.149051,0.209469,0.171943
153,0.312341,0.157061,0.148885,0.209415,0.172298
154,0.312366,0.157074,0.148817,0.209432,0.172312
155,0.312369,0.157163,0.148301,0.20955,0.172618
156,0.312523,0.157309,0.147645,0.209745,0.172778
157,0.312642,0.157427,0.147119,0.209903,0.172908
158,0.312384,0.157571,0.146883,0.210095,0.173066
159,0.312678,0.157535,0.146716,0.210046,0.173026
160,0.313111,0.15764,0.145921,0.210186,0.173142
161,0.313103,0.157788,0.145421,0.210384,0.173304
162,0.312915,0.157693,0.145935,0.210257,0.1732
163,0.313034,0.157812,0.145409,0.210416,0.17333
164,0.313009,0.157943,0.144736,0.21059,0.173723
165,0.313392,0.158122,0.143737,0.210829,0.17392
166,0.31392,0.158047,0.143465,0.21073,0.173838
167,0.313779,0.158173,0.142965,0.210898,0.174185
168,0.314174,0.158099,0.142825,0.210799,0.174103
169,0.313759,0.158313,0.142505,0.211084,0.174339
170,0.314268,0.15826,0.14218,0.211013,0.17428
171,0.313903,0.158419,0.141788,0.211226,0.174664
172,0.314234,0.158312,0.141826,0.211082,0.174545
173,0.314033,0.158511,0.141342,0.211349,0.174766
174,0.314086,0.158682,0.140701,0.211577,0.174954
175,0.313884,0.158883,0.140215,0.211844,0.175175
176,0.313686,0.158983,0.139668,0.211978,0.175685
177,0.31324,0.159122,0.139638,0.212162,0.175838
178,0.313856,0.159091,0.139128,0.212121,0.175804
179,0.313553,0.15928,0.13878,0.212373,0.176013
180,0.313298,0.159378,0.138203,0.212504,0.176618
181,0.313222,0.159538,0.137727,0.212717,0.176795
182,0.314052,0.159384,0.137429,0.212512,0.176624
183,0.314105,0.159556,0.136783,0.212741,0.176815
184,0.313693,0.159687,0.136535,0.212916,0.177169
185,0.313945,0.15973,0.135928,0.212973,0.177425
186,0.313721,0.159835,0.135581,0.213113,0.17775
187,0.313718,0.159974,0.135106,0.213298,0.177904
188,0.314719,0.159842,0.13456,0.213122,0.177757
189,0.315215,0.15981,0.133776,0.213079,0.17812
190,0.315109,0.159844,0.133764,0.213125,0.178159
191,0.315002,0.159867,0.13379,0.213156,0.178185
192,0.315294,0.15983,0.133628,0.213106,0.178143
193,0.315646,0.15987,0.132927,0.213161,0.178397
194,0.315393,0.159965,0.132855,0.213286,0.178502
195,0.314834,0.160166,0.132509,0.213555,0.178935
196,0.315089,0.160273,0.131678,0.213697,0.179263
197,0.31481,0.160435,0.131148,0.213913,0.179692
198,0.314733,0.160396,0.131361,0.213861,0.179648
199,0.31476,0.160409,0.131287,0.213879,0.179664
200,0.315016,0.160452,0.130886,0.213935,0.179711
201,0.314952,0.160559,0.13058,0.214078,0.179831
202,0.314713,0.160437,0.130841,0.213916,0.180093
203,0.314826,0.160495,0.130529,0.213993,0.180158
204,0.314896,0.160507,0.130416,0.21401,0.180172
205,0.315931,0.160428,0.129654,0.213904,0.180083
206,0.31643,0.160337,0.129469,0.213783,0.179981
207,0.316482,0.16042,0.128923,0.213893,0.180282
208,0.316942,0.160486,0.128234,0.213981,0.180357
209,0.316934,0.160538,0.127663,0.214051,0.180814
210,0.31767,0.160366,0.127522,0.213821,0.18062
211,0.317829,0.160515,0.126848,0.21402,0.180788
212,0.317894,0.160602,0.126482,0.214136,0.180886
213,0.318325,0.160676,0.125796,0.214234,0.180969
214,0.31813,0.160777,0.125242,0.214369,0.181482
215,0.318549,0.160825,0.124448,0.214434,0.181745
216,0.318393,0.160916,0.124082,0.214554,0.182055
217,0.318984,0.160945,0.123389,0.214593,0.182089
218,0.318907,0.161056,0.123081,0.214741,0.182214
219,0.319448,0.161128,0.122292,0.214837,0.182295
220,0.319372,0.161239,0.121984,0.214985,0.182421
221,0.31995,0.161188,0.121581,0.214917,0.182364
222,0.319915,0.161176,0.121449,0.214902,0.182559
223,0.319987,0.161213,0.12125,0.21495,0.1826
224,0.32041,0.161289,0.120563,0.215052,0.182686
225,0.320715,0.161152,0.120732,0.21487,0.182531
226,0.320714,0.161206,0.120337,0.214941,0.182801
227,0.320679,0.161194,0.120206,0.214926,0.182996
228,0.320793,0.161252,0.119892,0.215002,0.183061
229,0.321052,0.161359,0.119054,0.215145,0.183391
230,0.321166,0.161416,0.11874,0.215222,0.183456
231,0.321097,0.161579,0.118246,0.215438,0.18364
232,0.320848,0.161453,0.118931,0.215271,0.183498
233,0.321355,0.16154,0.118122,0.215387,0.183596
234,0.321064,0.161736,0.117733,0.215648,0.183819
235,0.321028,0.161724,0.117602,0.215632,0.184014
236,0.321163,0.161686,0.117599,0.215581,0.183971
237,0.321047,0.161628,0.117519,0.215504,0.184303
238,0.321161,0.161685,0.117205,0.21558,0.184368
239,0.321024,0.161616,0.117581,0.215488,0.18429
240,0.32142,0.161584,0.117297,0.215445,0.184253
241,0.321338,0.161711,0.116939,0.215615,0.184398
242,0.321456,0.161817,0.116244,0.215756,0.184727
243,0.321352,0.161765,0.11653,0.215686,0.184667
244,0.321421,0.161777,0.116418,0.215703,0.184681
245,0.321341,0.161873,0.116163,0.215831,0.184791
246,0.321653,0.161718,0.115991,0.215625,0.185013
247,0.321909,0.161899,0.115108,0.215865,0.185219
248,0.32256,0.162032,0.113994,0.216043,0.185372
249,0.322462,0.162126,0.113269,0.216168,0.185976
250,0.323236,0.161973,0.113027,0.215964,0.1858
251,0.323755,0.162002,0.112405,0.216003,0.185834
252,0.323562,0.162104,0.111845,0.216139,0.18635
253,0.323632,0.162116,0.111733,0.216155,0.186364
254,0.323702,0.162129,0.11162,0.216171,0.186378
255,0.323635,0.162291,0.11112,0.216389,0.186565
256,0.323891,0.162397,0.110496,0.216529,0.186686
257,0.323757,0.162526,0.109972,0.216702,0.187043
258,0.323468,0.162381,0.110767,0.216508,0.186876
259,0.323422,0.162358,0.110893,0.216477,0.18685
260,0.32323,0.16246,0.110331,0.216613,0.187366
261,0.322547,0.162598,0.110134,0.216797,0.187924
262,0.322836,0.162558,0.109984,0.216744,0.187878
263,0.32295,0.162616,0.109669,0.216821,0.187944
264,0.323164,0.162729,0.109058,0.216973,0.188076
265,0.323453,0.16269,0.108908,0.21692,0.18803
266,0.324213,0.162545,0.108653,0.216727,0.187863
267,0.324107,0.162579,0.10864,0.216772,0.187902
268,0.324044,0.162686,0.108122,0.216914,0.188234
269,0.324428,0.162653,0.107851,0.216871,0.188196
270,0.324593,0.162804,0.10716,0.217072,0.188371
271,0.324743,0.162885,0.106518,0.217181,0.188673
272,0.324494,0.162985,0.105923,0.217314,0.189285
273,0.32474,0.162924,0.10589,0.217232,0.189214
274,0.32447,0.163089,0.105337,0.217451,0.189653
275,0.324453,0.163223,0.104634,0.217631,0.190058
276,0.324777,0.16316,0.104531,0.217547,0.189985
277,0.324781,0.16323,0.103785,0.21764,0.190563
278,0.325018,0.163072,0.104104,0.217429,0.190378
279,0.324849,0.163212,0.103533,0.217616,0.19079
280,0.324955,0.163353,0.102935,0.217803,0.190954
281,0.32512,0.163504,0.10224,0.218005,0.191131
282,0.325151,0.163525,0.102134,0.218034,0.191156
283,0.325422,0.163377,0.101984,0.217836,0.191381
284,0.326445,0.16331,0.101198,0.217746,0.191302
285,0.32647,0.163187,0.101604,0.217582,0.191158
286,0.326702,0.163139,0.101539,0.217519,0.191102
287,0.326561,0.163069,0.101926,0.217425,0.19102
288,0.326293,0.163233,0.101368,0.217644,0.191461
289,0.325989,0.163168,0.101692,0.217558,0.191592
290,0.326104,0.163226,0.101376,0.217634,0.19166
291,0.32606,0.163336,0.100635,0.217781,0.192188
292,0.326366,0.163356,0.10026,0.217807,0.192211
293,0.326293,0.163468,0.099938,0.217957,0.192343
294,0.326229,0.163632,0.099427,0.218176,0.192536
295,0.326653,0.16368,0.098833,0.21824,0.192593
296,0.326171,0.163871,0.098437,0.218495,0.193026
297,0.32611,0.164039,0.097908,0.218719,0.193224
298,0.327118,0.163876,0.097473,0.218502,0.193032
299,0.327007,0.163908,0.097473,0.218543,0.193069
300,0.326533,0.164152,0.09709,0.218869,0.193357
301,0.326392,0.164139,0.097066,0.218852,0.19355
302,0.326464,0.164175,0.096867,0.218901,0.193593
303,0.326843,0.164139,0.096616,0.218852,0.19355
304,0.326864,0.16415,0.096557,0.218866,0.193562
305,0.326865,0.164127,0.096426,0.218837,0.193744
306,0.327868,0.163972,0.09597,0.218629,0.193561
307,0.328387,0.16389,0.095739,0.21852,0.193464
308,0.328502,0.163947,0.095422,0.218597,0.193532
309,0.328617,0.164005,0.095105,0.218673,0.1936
310,0.328639,0.164016,0.095046,0.218688,0.193612
311,0.328547,0.16397,0.094901,0.218626,0.193956
312,0.329193,0.164102,0.093789,0.218803,0.194113
313,0.329288,0.164149,0.093131,0.218865,0.194567
314,0.329073,0.164351,0.092634,0.219135,0.194807
315,0.328931,0.16428,0.093026,0.21904,0.194723
316,0.329046,0.164338,0.092709,0.219117,0.194791
317,0.32931,0.164383,0.092286,0.219177,0.194844
318,0.329329,0.164392,0.092234,0.219189,0.194855
319,0.329268,0.1645,0.091707,0.219333,0.195191
320,0.329335,0.164533,0.091522,0.219378,0.195231
321,0.329193,0.164462,0.091916,0.219283,0.195147
322,0.329475,0.164506,0.09127,0.219342,0.195407
323,0.330132,0.164639,0.090146,0.219518,0.195565
324,0.329836,0.164491,0.090964,0.219321,0.195389
325,0.329857,0.164501,0.090905,0.219335,0.195401
326,0.329799,0.16467,0.09037,0.21956,0.195601
327,0.329741,0.164838,0.089835,0.219784,0.195802
328,0.329637,0.164786,0.090122,0.219715,0.19574
329,0.330139,0.164725,0.089838,0.219633,0.195666
330,0.33042,0.164809,0.089258,0.219746,0.195767
331,0.330316,0.164757,0.089546,0.219676,0.195705
332,0.330053,0.164626,0.090269,0.219502,0.19555
333,0.330123,0.164803,0.089576,0.219738,0.19576
334,0.330293,0.164956,0.08887,0.219941,0.195941
335,0.330363,0.165133,0.088176,0.220177,0.196151
336,0.330451,0.165244,0.087447,0.220326,0.196532
337,0.330249,0.165292,0.087082,0.220389,0.196987
338,0.330321,0.165333,0.086656,0.220445,0.197245
339,0.329784,0.165498,0.086216,0.220664,0.19784
340,0.329937,0.165531,0.085944,0.220708,0.197879
341,0.330107,0.165684,0.085235,0.220912,0.198062
342,0.330344,0.16554,0.085108,0.22072,0.198288
343,0.330474,0.165663,0.084544,0.220884,0.198435
344,0.330891,0.165723,0.083915,0.220964,0.198507
345,0.330909,0.165918,0.083208,0.221224,0.198741
346,0.33127,0.165867,0.083026,0.221157,0.19868
347,0.331341,0.166045,0.082326,0.221394,0.198894
348,0.331212,0.166177,0.081781,0.22157,0.19926
349,0.331156,0.166347,0.081238,0.221796,0.199463
350,0.331353,0.166212,0.08112,0.221616,0.199699
351,0.330753,0.166392,0.080683,0.221857,0.200315
352,0.330884,0.166516,0.080116,0.222021,0.200463
353,0.330841,0.166686,0.079156,0.222248,0.201068
354,0.330861,0.166696,0.079101,0.222262,0.20108
355,0.33085,0.166834,0.078378,0.222445,0.201494
356,0.33087,0.166844,0.078322,0.222458,0.201506
357,0.330905,0.166868,0.078202,0.22249,0.201535
358,0.330845,0.167035,0.07767,0.222713,0.201737
359,0.330865,0.167045,0.077614,0.222727,0.201749
360,0.330805,0.167212,0.077082,0.22295,0.201951
361,0.330671,0.167145,0.077456,0.22286,0.201869
362,0.330694,0.167156,0.077393,0.222875,0.201883
363,0.3306,0.167252,0.076649,0.223003,0.202495
